Triangulated,Connected,Graph
false,false,"[[],[19,22,29],[],[],[],[],[],[],[],[],[],[],[21],[],[],[20],[37],[],[],[1],[15,37],[12],[1,25],[],[],[22],[45],[],[],[1],[],[],[],[],[37],[],[],[16,20,34],[],[],[],[],[],[],[],[26]]"
false,false,"[[],[24],[43],[],[18],[43],[23,32],[37],[],[14],[12,25,36,45],[],[10],[],[9],[],[],[35],[4],[],[25],[28],[33],[6,30,44],[1],[10,20,43],[],[],[21,34],[],[23],[],[6],[22],[28],[17],[10],[7],[],[],[44],[],[],[2,5,25],[23,40],[10]]"
false,false,"[[],[],[],[],[14,40],[14],[9],[23],[],[6,32],[30,42],[],[37],[41],[4,5],[27,38],[],[],[],[29],[],[],[31],[7],[35],[],[],[15],[],[19],[10],[22],[9],[],[],[24,44],[39],[12],[15],[36],[4],[13],[10],[],[35],[]]"
false,false,"[[19],[],[],[39],[10,45],[],[9,10],[8,45],[7],[6,26,27,39],[4,6],[43],[40],[],[],[],[],[],[28],[0],[23],[],[],[20,26],[43],[],[9,23],[9],[18,38],[],[],[],[],[],[],[36],[35],[],[28],[3,9],[12],[],[],[11,24],[],[4,7]]"
false,false,"[[],[17],[28,33],[31,40],[],[],[31],[30],[],[],[],[],[],[],[],[33],[40],[1],[],[20],[19,40,44],[],[35],[26],[40,45],[45],[23],[],[2],[39],[7,34],[3,6],[34],[2,15],[30,32],[22],[],[],[],[29],[3,16,20,24,43],[],[],[40],[20],[24,25]]"
false,false,"[[],[2,26],[1,5,42],[],[26],[2],[],[],[36],[],[],[24],[18],[26],[44],[38],[],[19],[12],[17],[],[30,35],[],[],[11],[39],[1,4,13,36],[29],[],[27,44],[21,38,41],[],[],[44],[39],[21,43],[8,26,41],[],[15,30],[25,34],[],[30,36],[2],[35],[14,29,33],[]]"
false,false,"[[],[],[],[],[],[],[9,38],[],[],[6],[],[],[45],[],[32],[],[],[28,36,42],[],[],[],[],[],[],[],[44],[],[],[17],[38],[32,44],[],[14,30],[],[],[],[17],[],[6,29],[],[],[],[17],[],[25,30],[12]]"
false,false,"[[17],[],[38],[],[18],[7,35],[8,26],[5],[6,12],[18],[],[34],[8],[24,30],[],[],[],[0],[4,9],[40],[],[],[],[],[13,26],[],[6,24,29],[38],[38],[26,30],[13,29],[34],[],[],[11,31],[5,42],[],[],[2,27,28],[],[19],[],[35],[],[],[]]"
false,false,"[[],[8],[5,10],[],[],[2],[],[],[1,10],[],[2,8],[43],[],[],[],[37],[],[],[],[],[],[],[38],[],[],[45],[],[],[],[42,44],[38,40],[],[],[],[],[],[],[15],[22,30],[],[30],[],[29],[11],[29],[25]]"
false,false,"[[],[16],[],[18,30],[25,42],[],[7],[6],[],[32],[21,38],[14],[],[],[11,42],[],[1,43],[],[3],[],[],[10],[],[],[],[4],[41],[32],[],[45],[3],[],[9,27],[],[],[],[],[],[10],[],[],[26],[4,14,45],[16],[],[29,42]]"
false,false,"[[44],[],[24],[],[],[],[],[],[26],[30],[],[],[],[34],[],[],[],[25],[],[41],[44],[],[],[],[2],[17],[8],[42],[],[39,44],[9],[],[],[43],[13],[],[],[],[],[29],[],[19],[27],[33],[0,20,29],[]]"
false,false,"[[16,39],[],[],[17,18],[],[],[],[],[21],[],[44],[26],[],[],[],[18],[0,18,23],[3,28],[3,15,16,20,25],[29],[18],[8],[],[16,35],[34],[18],[11],[],[17],[19],[],[34],[35],[38],[24,31],[23,32],[],[],[33],[0],[],[43,45],[],[41],[10],[41]]"
false,false,"[[27],[],[42],[],[28],[],[],[30],[],[],[],[],[27,29],[],[],[],[],[],[43],[],[28],[],[],[],[29],[],[32,44],[0,12],[4,20],[12,24],[7,43],[],[26,45],[],[],[],[],[],[],[],[],[],[2],[18,30],[26],[32]]"
false,false,"[[30],[6,20],[],[35,42],[],[],[1],[],[],[],[],[],[],[45],[],[],[],[],[36],[],[1],[],[],[],[],[],[],[],[],[30],[0,29],[44],[],[],[],[3],[18],[],[],[],[],[],[3],[],[31],[13]]"
false,false,"[[],[],[21],[],[],[28,36],[],[],[19],[],[18],[],[],[],[16],[32],[14],[],[10],[8],[24,39],[2],[26,44],[],[20,30],[],[22],[],[5,31],[],[24],[28],[15,35],[39],[],[32,40],[5,42],[],[],[20,33],[35],[],[36],[],[22],[]]"
false,false,"[[],[],[],[14],[],[],[],[],[],[],[],[],[],[],[3],[],[39],[],[38,44],[],[32],[39,41],[],[45],[45],[],[],[],[],[],[],[],[20],[],[],[],[40],[],[18],[16,21],[36],[21,45],[],[],[18],[23,24,41]]"
false,false,"[[21,37],[],[],[11],[],[],[15],[30],[],[],[],[3],[],[],[],[6],[41],[45],[],[],[31],[0,43],[],[44],[],[32],[],[40],[],[36],[7],[20,36],[25],[40],[],[],[29,31,40],[0],[],[],[27,33,36,44],[16],[],[21],[23,40],[17]]"
false,false,"[[17],[2,15],[1],[39],[],[],[],[],[45],[],[],[],[],[20],[17],[1],[],[0,14],[],[],[13],[],[35],[24,41],[23,33],[],[44],[],[],[],[40],[],[41],[24],[],[22,36],[35],[],[],[3],[30,44],[23,32],[],[],[26,40],[8]]"
false,false,"[[16,42],[],[30],[],[9,44],[],[],[],[],[4],[],[],[34],[],[],[],[0],[43],[],[],[],[31],[],[37],[],[30],[],[],[],[],[2,25,43],[21],[],[],[12],[],[37],[23,36],[],[],[],[],[0],[17,30],[4],[]]"
false,false,"[[],[],[],[],[15],[43],[7,11,28],[6],[38],[],[],[6],[39,45],[],[28],[4],[],[],[],[31],[42],[],[],[],[],[39],[],[],[6,14,33],[],[],[19,38],[38],[28],[],[],[],[],[8,31,32],[12,25],[],[],[20],[5],[],[12]]"
false,false,"[[15],[],[],[],[26],[44],[9],[],[],[6],[],[],[],[],[],[0,21,29],[],[],[],[],[],[15],[],[],[],[],[4],[43],[45],[15],[39,40],[],[],[],[],[],[],[],[],[30],[30],[],[],[27],[5],[28]]"
false,false,"[[13],[20],[],[15],[],[],[],[],[],[],[],[],[29],[0],[],[3,29],[45],[],[19],[18],[1,23,27],[],[],[20],[25],[24],[32],[20],[],[12,15],[],[],[26],[],[],[],[],[],[],[],[],[],[],[],[],[16]]"
false,false,"[[],[],[],[],[],[],[20],[],[],[],[],[],[],[],[],[22,24],[],[],[42],[],[6,45],[],[15,44],[],[15],[],[],[37],[],[],[32,33],[],[30],[30],[],[],[],[27],[],[],[41],[40],[18],[],[22],[20]]"
false,false,"[[44],[],[],[],[],[36,39],[24],[],[29],[25,42],[],[],[32],[33],[],[],[],[],[],[],[],[],[],[40],[6],[9,43],[],[35],[],[8],[32],[],[12,30],[13],[],[27],[5],[],[43],[5],[23],[],[9],[25,38],[0],[]]"
false,false,"[[],[],[14],[43],[],[],[],[],[],[],[20,44],[32],[],[],[2,22,31],[24],[],[19],[],[17,23,41],[10],[27,35,41],[14,24],[19],[15,22],[],[],[21,39],[],[34],[],[14],[11],[],[29,35],[21,34],[],[],[],[27],[44],[19,21],[],[3],[10,40],[]]"
