Triangulated,Connected,Graph
true,true,"[[1,2,3],[0,2,4],[0,1,3,4],[0,2,4],[1,2,3]]"
false,true,"[[2],[2,3,4],[0,1,4],[1,4],[1,2,3]]"
true,true,"[[1,2,3,4],[0,2,3,4],[0,1,3,4],[0,1,2,4],[0,1,2,3]]"
true,true,"[[1,4],[0,2,3,4],[1,4],[1,4],[0,1,2,3]]"
true,true,"[[1,3,4],[0,2,3],[1,3,4],[0,1,2,4],[0,2,3]]"
true,true,"[[1,2,3,4],[0,2,3,4],[0,1,3],[0,1,2,4],[0,1,3]]"
true,true,"[[2,3,4],[2,3,4],[0,1,3,4],[0,1,2,4],[0,1,2,3]]"
true,true,"[[2,3,4],[3,4],[0,4],[0,1,4],[0,1,2,3]]"
true,true,"[[1,2,3,4],[0,2,3,4],[0,1,4],[0,1,4],[0,1,2,3]]"
false,true,"[[1,2,4],[0,2,3],[0,1],[1],[0]]"
