Triangulated,Connected,Graph
false,false,"[[3],[14],[18,28,32,40],[0,34],[16],[11,15],[9],[11,24,25],[34],[6,42],[38],[5,7,31,36,42],[36],[],[1,17],[5],[4],[14,35],[2,34],[],[39],[32],[28],[],[7,27,31,40],[7],[42,45],[24],[2,22],[37,46],[],[11,24,33],[2,21,43],[31],[3,8,18,36],[17],[11,12,34],[29],[10],[20],[2,24],[],[9,11,26],[32],[],[26],[29]]"
false,false,"[[40],[34],[14,19,31],[26,39],[],[40],[8,24],[42],[6,42],[],[],[],[],[31],[2],[38],[],[],[29],[2,45],[],[],[],[28],[6],[],[3,36],[33],[23,39],[18],[],[2,13],[],[27],[1],[43],[26,40],[],[15],[3,28],[0,5,36],[46],[7,8],[35],[],[19],[41]]"
false,false,"[[8],[3,4,29,34],[],[1,16],[1,9,42],[33],[19,39],[12],[0,26,38],[4,14,40,46],[28,29],[40],[7],[36],[9],[18],[3,30],[23],[15],[6,43],[],[31,38],[],[17,34],[25],[24,30],[8,41],[39],[10],[1,10],[16,25],[21],[33],[5,32,43],[1,23,42],[],[13],[],[8,21],[6,27],[9,11],[26],[4,34],[19,33],[],[],[9]]"
false,false,"[[6,25,30],[24,27],[15],[17,24],[],[27],[0,41],[],[],[],[],[32],[27],[21,31],[],[2],[],[3,26],[],[45],[],[13],[32,36,42],[24,33],[1,3,23,42],[0,29,30],[17,31],[1,5,12],[],[25,41],[0,25],[13,26],[11,22],[23,45],[38],[36],[22,35],[],[34,46],[],[],[6,29],[22,24],[],[],[19,33],[38]]"
false,false,"[[35],[15,23],[45],[8],[34],[],[25,39],[10,13],[3],[],[7],[36],[27,44],[7,45],[16],[1,26],[14,25,37],[28],[],[],[],[41],[26,38],[1,39],[34,44],[6,16],[15,22,37],[12],[17],[],[34],[],[],[],[4,24,30],[0],[11],[16,26],[22,42],[6,23],[],[21],[38],[],[12,24],[2,13],[]]"
false,false,"[[35,42],[20,27],[16],[24],[],[12],[23,33],[27],[14,38,43],[31],[18,21,42],[36],[5,33],[20],[8,46],[],[2,32,44],[33],[10,24],[],[1,13],[10],[],[6,30],[3,18,39,45],[],[],[1,7],[45],[45],[23,36,38,39],[9],[16],[6,12,17,39],[44],[0],[11,30],[],[8,30],[24,30,33],[],[],[0,10],[8,44],[16,34,43],[24,28,29],[14]]"
false,false,"[[40],[10,14,28],[6,7,28],[4,36],[3,20,34],[46],[2,11,17,23,42],[2,16],[19],[45],[1,12,23,33,35],[6,19,28],[10],[],[1,22],[20],[7,27,37],[6],[23,38,43],[8,11,24,26],[4,15,43],[41],[14],[6,10,18,37],[19,43],[29,34],[19,32],[16,29,40],[1,2,11],[25,27,31],[],[29,42],[26],[10],[4,25],[10],[3],[16,23],[18,40],[46],[0,27,38,42],[21],[6,31,40],[18,20,24],[],[9],[5,39]]"
false,false,"[[26],[30],[6,14,44],[],[8],[30,38,41],[2,22,43,44],[],[4,24,38],[12,22],[],[13,15],[9,26],[11,26,30],[2],[11,37],[],[28],[28],[],[],[],[6,9,30,31],[25],[8,31,44],[23,33],[0,12,13,36,42],[],[17,18],[],[1,5,13,22],[22,24],[42],[25],[41],[39],[26,45],[15],[5,8],[35,46],[],[5,34],[26,32],[6],[2,6,24],[36],[39]]"
false,false,"[[12],[16,40],[3,24],[2,37],[29],[11],[],[15,26],[28],[15],[],[5],[0],[],[44],[7,9,37],[1,46],[],[42,46],[22,38],[45],[],[19],[25],[2],[23],[7,28,35],[],[8,26],[4],[39],[],[],[],[35,41],[26,34,44],[],[3,15],[19],[30,42],[1,45],[34],[18,39],[],[14,35],[20,40],[16,18]]"
false,false,"[[31],[15,27],[9],[],[34],[18],[],[32],[31],[2],[],[12,13],[11,38,41],[11,42],[24,27],[1,18],[],[42],[5,15,23,38],[21],[],[19],[],[18,38,41],[14,35,41],[31],[],[1,14],[],[],[],[0,8,25,46],[7,41,42],[41],[4],[24,42],[37,43],[36],[12,18,23],[],[],[12,23,24,32,33],[13,17,32,35],[36],[45],[44],[31]]"
false,false,"[[27,30],[24],[],[23,36],[34],[32,33,34,41],[24,26],[],[],[16,34,41],[21],[18],[13],[12],[19,21,37],[22,41],[9],[32],[11],[14,35,43,44],[],[10,14,38],[15,38,46],[3,35],[1,6],[],[6],[0,30],[],[],[0,27],[],[5,17,43],[5],[4,5,9,46],[19,23,46],[3],[14,38],[21,22,37,39],[38],[],[5,9,15],[],[19,32],[19],[],[22,34,35]]"
false,false,"[[15],[37],[11],[24,26],[],[8,33],[37],[30],[5,27,44],[15,25,29],[],[2,39],[37],[34],[],[0,9,17],[17,22,29],[15,16],[45],[],[],[],[16,34],[33],[3,28,37],[9],[3],[8],[24,33],[9,16],[7],[],[33,37],[5,23,28,32],[13,22],[],[],[1,6,12,24,32],[],[11],[],[],[45],[],[8],[18,42],[]]"
false,false,"[[],[],[8,27,37],[28],[36],[12,18,44],[9,23,37],[15,31],[2,23,26],[6,25,32],[],[],[5,28,46],[],[],[7,27],[],[22,24],[5],[44],[29],[],[17,34,42],[6,8,28],[17],[9,29,35],[8,27,44],[2,15,26],[3,12,23,29],[20,25,28],[],[7,43],[9],[],[22,41],[25,46],[4],[2,6],[],[],[],[34],[22],[31],[5,19,26,46],[],[12,35,44]]"
false,false,"[[],[26,32,46],[40],[15],[40],[25,41],[],[12,27,40],[],[22],[24],[13,14,42],[7,43],[11,25,37],[11],[3],[33,40],[21],[],[29,33],[28,31],[17,35],[9],[],[10],[5,13,43],[1],[7,38],[20,39],[19],[33,39],[20],[1,34,38],[16,19,30],[32],[21,45],[45],[13],[27,32,46],[28,30,40],[2,4,7,16,39],[5],[11],[12,25],[],[35,36],[1,38]]"
false,false,"[[35],[22,25,42],[10],[29],[31],[44],[10],[37],[20],[14,26,38,46],[2,6],[32],[36],[],[9,37,44],[22],[],[23,25,44],[21,30,42],[],[8,34,40],[18],[1,15],[17,42,43,45],[34],[1,17,32],[9],[],[34],[3],[18],[4],[11,25,37,40,46],[],[20,24,28,36],[0],[12,34],[7,14,32],[9],[],[20,32],[],[1,18,23],[23],[5,14,17],[23],[9,32]]"
false,false,"[[15,33],[],[17],[43,45,46],[8,9,14,26,33,44],[],[9],[21],[4,29,38],[4,6],[28,41],[25,28,31],[43],[],[4,26,36,37],[0],[21],[2,18,33,41],[17,33],[],[],[7,16],[26],[],[],[11],[4,14,22,29],[],[10,11],[8,26,36],[44],[11,41,43],[],[0,4,17,18],[],[],[14,29],[14],[8],[],[],[10,17,31,42],[41],[3,12,31],[4,30],[3],[3]]"
false,false,"[[],[31],[29],[7],[9,22],[24,41],[13,28,40],[3,13],[21,28],[4,18,21,24],[29,32],[35],[25],[6,7],[25],[23],[41],[21,29],[9],[],[33],[8,9,17,36],[4,40],[15,45],[5,9],[12,14],[],[33],[6,8],[2,10,17,34],[],[1],[10,39],[20,27,42],[29],[11],[21],[39],[],[32,37],[6,22],[5,16],[33],[],[],[23],[]]"
false,false,"[[11,16,42],[],[36],[8,13],[19,23,24],[],[],[11],[3],[],[26,41],[0,7,15,24],[29],[3],[35,44],[11,19,38],[0,34,38],[19,35],[],[4,15,17,30],[28],[29],[],[4,39],[4,11,38],[34],[10],[],[20,33],[12,21,34],[19,39,41],[],[],[28],[16,25,29,39],[14,17],[2],[],[15,16,24,46],[23,30,34],[],[10,30],[0],[],[14],[],[38]]"
false,false,"[[12,23],[],[30],[11],[10,32],[17],[12,27,39,44],[],[9,40],[8,42,45],[4,15,35],[3,27],[0,6],[],[],[10,22,30],[30],[5,45],[21,46],[],[31],[18,26],[15,27],[0],[44],[],[21],[6,11,22,40],[39],[],[2,15,16,34,38,40],[20],[4],[],[30],[10],[],[],[30],[6,28,45],[8,27,30],[],[9],[],[6,24],[9,17,39],[18]]"
false,false,"[[],[39],[7,8,38,41],[11,24,28],[],[6,10,34],[5,16],[2,12,44],[2,18],[20],[5,21,30,37],[3,33],[7,29,33,43],[17,26,28],[42],[],[6],[13],[8,42],[21,29,38],[9,39],[10,19,34],[],[27,28,42],[3],[40],[13,32,41,46],[23,40],[3,13,23],[12,19],[10],[],[26],[11,12,42,43],[5,21],[],[],[10],[2,19],[1,20],[25,27],[2,26,44],[14,18,23,33],[12,33],[7,41],[],[26]]"
false,false,"[[12,20,29],[18],[33,37],[17,32,45],[44],[25],[],[],[11,20,34,38,44],[27],[15,30],[8,30],[0,26,33,41],[18,26],[],[10],[17],[3,16,33],[1,13],[],[0,8,29],[],[],[45],[],[5],[12,13],[9],[32],[0,20],[10,11],[],[3,28],[2,12,17],[8],[],[],[2,40,43],[8],[46],[37],[12],[],[37],[4,8],[3,23],[39]]"
false,false,"[[35],[13,30,38,45],[10,11,31],[11,12,25,36],[],[31],[21,37],[22],[],[],[2],[2,3],[3],[1,40],[22,23,35],[25],[23,43],[],[19,27],[18,34,46],[32,34],[6],[7,14],[14,16],[30],[3,15],[36,39],[18],[],[36],[1,24],[2,5,36],[20],[],[19,20],[0,14,43],[3,26,29,31],[6],[1],[26],[13,45],[46],[],[16,35],[],[1,40],[19,41]]"
false,false,"[[1],[0,14,41],[],[],[29,39],[],[],[33],[25],[],[26],[43],[],[],[1,20,22],[27,28],[34],[36],[],[],[14],[27,37,42],[14,24],[33],[22],[8,41],[10],[15,21,32,38],[15],[4],[39],[],[27],[7,23],[16],[41],[17,38,41],[21],[27,36],[4,30],[],[1,25,35,36,43],[21,43],[11,41,42],[],[],[]]"
false,false,"[[],[5,45],[4,11,18],[14,43],[2,24,33],[1],[9,21],[10,14],[],[6],[7,45],[2,29,35,46],[],[],[3,7],[],[22,44],[28,41],[2,35],[],[],[6],[16,38],[36,38],[4,45],[],[30],[],[17],[11,36],[26],[],[],[4],[],[11,18,43,46],[23,29],[],[22,23],[],[],[17],[],[3,35,44],[16,43],[1,10,24],[11,35]]"
false,false,"[[],[],[15],[46],[28,37],[34,46],[30,45],[32,34],[],[28],[30],[25],[45],[],[20,38],[2,19],[],[18],[17],[15,45],[14],[],[24],[],[22,34],[11,41],[],[],[4,9],[],[6,10,35],[41],[7],[],[5,7,24],[30],[44],[4],[14,43],[],[],[25,31],[],[38],[36],[6,12,19],[3,5]]"
false,false,"[[6,13,23],[17,43,45],[42],[],[9,22],[9],[0,13,22],[],[11,17,18,22,23,35,36],[4,5,11,45],[],[8,9,15,18],[15,30],[0,6,41],[39],[11,12],[44],[1,8,46],[8,11,27],[30,44],[25,34],[],[4,6,8],[0,8,27],[33,35,40],[20],[],[18,23,39],[31,32,34],[33],[12,19],[28,38],[28],[24,29],[20,28],[8,24],[8,37,45],[36,44],[31,44,45],[14,27,44],[24],[13],[2],[1],[16,19,37,38,39],[1,9,36,38],[17]]"
false,false,"[[27,42],[16,43],[19],[13,20],[19],[41],[15],[24,45],[19,35,36],[10,32,44],[9,22,32,43],[],[18],[3],[],[6,46],[1],[21,22],[12,24],[2,4,8,27,46],[3,34],[17],[10,17],[],[7,18,32],[],[35],[0,19,30],[37,41],[35,45],[27,46],[],[9,10,24],[],[20],[8,26,29],[8],[28],[],[],[],[5,28],[0],[1,10],[9],[7,29],[15,19,30]]"
false,false,"[[21,44],[],[15],[13,30],[],[],[12,18],[26,44],[14,15],[16,23,41],[20],[],[6,36,42],[3,18,20,27,39,41,44],[8,19,45],[2,8,36,40,43,46],[9,23,24,25,43],[22],[6,13,27,46],[14,26,27,46],[10,13],[0,24],[17],[9,16,27,42],[16,21],[16,29,42],[7,19],[13,18,19,23,38],[37],[25,30,35],[3,29],[37],[46],[],[36],[29],[12,15,34],[28,31],[27],[13],[15],[9,13],[12,23,25],[15,16],[0,7,13],[14],[15,18,19,32]]"
