Triangulated,Connected,Graph
false,true,"[[7,24,44,73],[51,56],[16,19,27,37,46,54],[12,20,21,34,56],[9,32,43],[7,10,12,40,44,60,74],[19,35,55,62,71,72],[0,5,11,13,17,24,52,65],[45,49,58,68,70,71],[4,27,32,53,72,73],[5,28,42,73],[7,22,47,55,59,67,69,72,74],[3,5,15,43,46,72],[7,15,30,34],[31,62],[12,13,32,44,45,51,62,72],[2,51,58,60],[7,20,58,71],[33,50,57,63],[2,6,31,40,47],[3,17,36,37],[3,29,42,48],[11,27,63,70],[27,31,61],[0,7,38,57,71],[60,61],[27,68],[2,9,22,23,26,47,57,62,64],[10,58,59,70],[21,59],[13,31,37,62,65],[14,19,23,30,52,67],[4,9,15,45,72],[18,45,72],[3,13,38,52,70],[6,40,53],[20,53],[2,20,30,57,63,64],[24,34,56,60],[45,51,71],[5,19,35,42,55,59],[45,52],[10,21,40],[4,12,50,63],[0,5,15,57],[8,15,32,33,39,41,55],[2,12,49,67],[11,19,27,53,57],[21,69,71],[8,46,53,64,65,67,70,72],[18,43,55,67],[1,15,16,39],[7,31,34,41,58],[9,35,36,47,49,57],[2],[6,11,40,45,50],[1,3,38,74],[18,24,27,37,44,47,53],[8,16,17,28,52,66],[11,28,29,40,63,71],[5,16,25,38,69],[23,25,62,63,68],[6,14,15,27,30,61],[18,22,37,43,59,61,73],[27,37,49],[7,30,49],[58,69],[11,31,46,49,50],[8,26,61],[11,48,60,66],[8,22,28,34,49],[6,8,17,24,39,48,59,72],[6,9,11,12,15,32,33,49,71,73],[0,9,10,63,72],[5,11,56]]"
false,true,"[[16,33,37,40,49,55,67],[20,30,31,63],[6],[6,10,14,41,54,61,72],[5,13,36,43,53,71],[4,12,19,21,27,54,58,59],[2,3,12,32,40,56,64,71],[39,47,58,64],[14,35,73],[17,39,55,74],[3,16,40],[19,32,36],[5,6,41,63],[4,58],[3,8,16],[58,60,64],[0,10,14,40,43,61],[9,37,38,42],[41,42,45,48,63],[5,11,59,60,69],[1,68],[5,58,69],[51,66,68],[26,35,48,51,52,68],[28],[40,48,55,58],[23,31,63],[5,33,55],[24,45,61,72],[69,72],[1,42,50,67],[1,26,53,65,69],[6,11],[0,27,37,47,69],[51,67,73],[8,23,44,49,61],[4,11,60],[0,17,33,55],[17,40,42,73],[7,9,44],[0,6,10,16,25,38],[3,12,18,53,61,65],[17,18,30,38,55],[4,16,61,67],[35,39,46,62,66],[18,28,57],[44,49,72],[7,33,57,70],[18,23,25,68],[0,35,46,60,69],[30,62,64,67],[22,23,34],[23],[4,31,41,68],[3,5],[0,9,25,27,37,42,64],[6,64],[45,47],[5,7,13,15,21,25],[5,19,63,73],[15,19,36,49],[3,16,28,35,41,43,64],[44,50,65],[1,12,18,26,59,73],[6,7,15,50,55,56,61,74],[31,41,62,67],[22,44],[0,30,34,43,50,65,68],[20,22,23,48,53,67],[19,21,29,31,33,49],[47,71],[4,6,70],[3,28,29,46],[8,34,38,59,63],[9,64]]"
false,true,"[[5,14,47,55,68],[16,28,29,38,42],[9,14,23,30,31,57,71],[19,29,30,32,35,53,61],[10,11,29,36,42,74],[0,7,12,28,32,36,57],[16,48],[5,20,26,29,46],[29,30,34,44,65],[2,36,49,54],[4,11,12,41,43],[4,10,30,45,52],[5,10,19,20,70],[19,31,43,48,57,70],[0,2,33,52,69],[19,45,47,68],[1,6,31,39,65],[42],[25,50,56],[3,12,13,15,23,36,56,60,61,70],[7,12,57,58,71,72,74],[43,53,65],[53],[2,19,27,50],[27,37,73],[18,46,60],[7,37,74],[23,24,66,71,74],[1,5],[1,3,4,7,8,33,52,63],[2,3,8,11,58],[2,13,16],[3,5,47,56,59,68],[14,29,63,66],[8,71],[3,56,63],[4,5,9,19,37,59],[24,26,36,60],[1,52,56,57,74],[16,50,63],[41,46,57,68],[10,40,45,62,63,69,74],[1,4,17,51,55,70],[10,13,21,47,61,73],[8],[11,15,41],[7,25,40,69],[0,15,32,43,51],[6,13,50,51],[9,53,65,73],[18,23,39,48,62],[42,47,48,70],[11,14,29,38,56],[3,21,22,49,58,63,72,74],[9,64],[0,42,70,73,74],[18,19,32,35,38,52,63,74],[2,5,13,20,38,40],[20,30,53],[32,36],[19,25,37],[3,19,43],[41,50],[29,33,35,39,41,53,56],[54,70],[8,16,21,49,67,74],[27,33],[65],[0,15,32,40],[14,41,46],[12,13,19,42,51,55,64,72],[2,20,27,34],[20,53,70,73],[24,43,49,55,72],[4,20,26,27,38,41,53,55,56,65]]"
false,true,"[[6,28,45],[6,64],[16,19,22,43,53],[5,19,35,60,73],[10,21,43,48,53,63],[3,15,18,46,56,63,67,69,70],[0,1,7,10,50,60,62],[6,29,64],[48,51,55,58,60],[17,65],[4,6,17,60,67,71],[18,21,35,39,61],[22,33,52,72],[21,25,46,65,72],[29,42,46,50,64,65,70],[5,21,58,73],[2,61],[9,10,54,69,70],[5,11,62,73],[2,3,35,39],[26,35,46,51,53],[4,11,13,15,40,56],[2,12,26,44,47,59],[39,55,58,68],[33,41,50],[13,65,70],[20,22,34,37,55,67],[54,59,67,74],[0,49,53,66],[7,14,37,42,61],[39,43,47],[39,45,65],[64],[12,24,44,56,73],[26,38,41],[3,11,19,20,42,56,69,71],[41,50,52,74],[26,29,53,63,72,73],[34,47],[11,19,23,30,31,40,56],[21,39,43,57,65,67],[24,34,36,43,52,60,61],[14,29,35,48,51,53,55,73],[2,4,30,40,41,45,53,68],[22,33,73],[0,31,43,54],[5,13,14,20,52,61],[22,30,38],[4,8,42,63,66,67],[28,54,61,68],[6,14,24,36],[8,20,42],[12,36,41,46],[2,4,20,28,37,42,43],[17,27,45,49,58,65,66],[8,23,26,42,56],[5,21,33,35,39,55,74],[40],[8,15,23,54,67],[22,27],[3,6,8,10,41,74],[11,16,29,41,46,49,67,72],[6,18,66],[4,5,37,48,74],[1,7,14,32,73],[9,13,14,25,31,40,54,73],[28,48,54,62,67],[5,10,26,27,40,48,58,61,66,70],[23,43,49],[5,17,35],[5,14,17,25,67,72],[10,35],[12,13,37,61,70],[3,15,18,33,37,42,44,64,65],[27,36,56,60,63]]"
false,false,"[[15,26,58,65],[9,14,18,27,34,37,39,50,60,63,66],[20,27,37,50,51,70],[18,39,46],[6,25,29,52],[11,18,34,42,55,71],[4,45],[8,61],[7,10,18,20,24],[1,14,27,32,52,67,72,73],[8,29,47,68,70],[5,64],[15,32,34,39,45],[34,55],[1,9,29,35,44,50,69],[0,12,17,20,42,59,66],[25,29,48,56,62,70,71],[15,31],[1,3,5,8,23,29,31,59,60],[41,43],[2,8,15,28,61],[65,67],[29,33,48],[18,39,47,70],[8,61,68],[4,16],[0,29,58],[1,2,9,44,55,72],[20,37,63,66],[4,10,14,16,18,22,26,57,62,64],[],[17,18,33,42,52,69],[9,12,62,63],[22,31,73],[1,5,12,13,42,44],[14,44,56,60],[54,56,61],[1,2,28],[],[1,3,12,23,56],[43],[19,53,55],[5,15,31,34,55,73],[19,40,45,49],[14,27,34,35,50,53],[6,12,43,64,70],[3,59,64,67,74],[10,23,55,72],[16,22,58,73],[43],[1,2,14,44,59,73],[2,61,64,67],[4,9,31,53],[41,44,52],[36,70],[5,13,27,41,42,47,65],[16,35,36,39],[29,63],[0,26,48],[15,18,46,50],[1,18,35,63,65],[7,20,24,36,51],[16,29,32,72,74],[1,28,32,57,60,74],[11,29,45,46,51,69],[0,21,55,60,67],[1,15,28,67],[9,21,46,51,65,66,73],[10,24],[14,31,64],[2,10,16,23,45,54,71],[5,16,70],[9,27,47,62],[9,33,42,48,50,67,74],[46,62,63,73]]"
false,true,"[[18,28,33,42,53],[28,40,43,66],[4,6,34,56,67],[5,27,34,39,57,62,63],[2,7,13,52,60,73],[3,18,42,57,72],[2,30,42,52,67],[4,8,67],[7,11,55,58,66],[18,44,56],[12,42,59],[8,18,19,53,69],[10,28,52,74],[4,23,24,27,41],[27,54],[20,23,57,71],[23,26,35,64],[30,44,46,48],[0,5,9,11,34,43,52,73],[11,39,49,59],[15,26,33,62,63],[29,35,45,46,63,66,67],[31,54,58,60],[13,15,16,39,42,55,60],[13,30,58,73],[44],[16,20,39,61,71],[3,13,14,39,73,74],[0,1,12,30,54,58,62],[21,46,57,64],[6,17,24,28,44,50,51,73],[22,34],[39,50,66],[0,20,56],[2,3,18,31,37,55,68],[16,21,44,71],[71],[34,61,67,69],[45,66],[3,19,23,26,27,32,42,43,58,61,68],[1,58],[13,45,54,59],[0,5,6,10,23,39],[1,18,39],[9,17,25,30,35,58,69,71],[21,38,41,54],[17,21,29,63,66,72],[51,56,60],[17],[19,63],[30,32,51],[30,47,50,67],[4,6,12,18,55,73],[0,11,67,69],[14,22,28,41,45],[8,23,34,52,66],[2,9,33,47],[3,5,15,29,66],[8,22,24,28,39,40,44],[10,19,41],[4,22,23,47],[26,37,39],[3,20,28,63],[3,20,21,46,49,62],[16,29],[71],[1,8,21,32,38,46,55,57,72],[2,6,7,21,37,51,53],[34,39],[11,37,44,53],[73],[15,26,35,36,44,65],[5,46,66],[4,18,24,27,30,52,70],[12,27]]"
false,true,"[[11,12,14,16,21,25,38,46,71,73],[21,48],[8,57,74],[12,73],[11,17,22,29,49,63,74],[12,39,65,74],[22,31,50,58,59,69],[28,31,40,63,64,68],[2,33,35,44],[39],[20],[0,4,13,24,29,36,45,61],[0,3,5,43,54],[11,23,43],[0,27,37,48,67],[43,51,65],[0,17,34,35,38,56,59,61,73],[4,16,25,64],[41,43,58],[38,39,58,63],[10,27,28,36,37,43],[0,1,64],[4,6,24,27,31,48,50,62,68],[13,47,50],[11,22,56,65],[0,17,27,34,37,38,69,73],[27],[14,20,22,25,26,41,43,46,64],[7,20,38,39,49,55],[4,11,56],[69,72,73],[6,7,22,44,56,68],[33,41,59,65],[8,32,47,53,57,60],[16,25,55],[8,16,47,67,70],[11,20,51,59,61,69],[14,20,25,40],[0,16,19,25,28,48,50],[5,9,19,28,43,46,62],[7,37,61],[18,27,32,42],[41,73],[12,13,15,18,20,27,39,52,55,58,61],[8,31,58],[11,50,68],[0,27,39,50,51,66,70],[23,33,35,57,59],[1,14,22,38,65],[4,28,55],[6,22,23,38,45,46,55,56,60,63],[15,36,46,74],[43,57],[33,55,66,71],[12,67],[28,34,43,49,50,53,66],[16,24,29,31,50,58,64],[2,33,47,52],[6,18,19,43,44,56],[6,16,32,36,47],[33,50,66],[11,16,36,40,43,65,71,72],[22,39,71],[4,7,19,50],[7,17,21,27,56],[5,15,24,32,48,61,66,67,68,71],[46,53,55,60,65],[14,35,54,65],[7,22,31,45,65],[6,25,30,36,73],[35,46],[0,53,61,62,65],[30,61],[0,3,16,25,30,42,69],[2,4,5,51]]"
false,false,"[[60],[6,24,28,35,36,37,70],[51,56,70],[12,16,44,47,57,64,70],[31,56,69],[14,32],[1,36],[38,45,57],[15,45,74],[29,38,47,53,60,62,72],[16,20,27,53,73],[72],[3,55,69],[68],[5,24,25,28,63,66],[8,59,64,67],[3,10,29,40,41,48,54,63],[28,32,35,59,67],[24,33,56,58,59],[39,42,61],[10,25,30,40,69],[24,47,73,74],[61,68],[29,36,53,62],[1,14,18,21,55,61],[14,20,37,39,59],[44,49],[10,59],[1,14,17,34,36,48,54,71],[9,16,23,38,46,52,60,68,69],[20,35,66,69],[4,42,57,59,60],[5,17,67],[18],[28,61],[1,17,30,39,64],[1,6,23,28,37,53,61],[1,25,36,56],[7,9,29],[19,25,35,40,54,66,72],[16,20,39,44],[16],[19,31],[47,51,52,66,73],[3,26,40,51,69,73],[7,8],[29,53,70,73],[3,9,21,43],[16,28,56,63,73],[26,58,68],[],[2,43,44],[29,43,61],[9,10,23,36,46,57,71,72],[16,28,39,67],[12,24,60,70],[2,4,18,37,48,74],[3,7,31,53],[18,49,73],[15,17,18,25,27,31],[0,9,29,31,55,67],[19,22,24,34,36,52,69],[9,23],[14,16,48],[3,15,35],[],[14,30,39,43],[15,17,32,54,60],[13,22,29,49,74],[4,12,20,29,30,44,61],[1,2,3,46,55],[28,53,72],[9,11,39,53,71],[10,21,43,44,46,48,58],[8,21,56,68]]"
false,true,"[[18,55],[4,11,20,42,65],[7,49,69],[16,27,39,55,66],[1,25,35,36,51],[8,14,25],[18,20,27,38,48],[2,42,47],[5,36,44,46,65,66],[18,21,48,59],[37,56,58,65,73],[1,22,27,32],[21,63],[17,21,23,30,56],[5,32,36,40],[26,31,42,49,74],[3,18,59,65],[13,18,24,40],[0,6,9,16,17,40,59,62],[54,74],[1,6,29,31,45,47],[9,12,13,30,50,54,56,59,66,68],[11,29,30,46],[13],[17,26,34,48,74],[4,5,27,49,71],[15,24,61,74],[3,6,11,25,48],[38],[20,22,74],[13,21,22,41,69,70],[15,20,36,47,51,59],[11,14,33,50],[32,45],[24],[4,38,70],[4,8,14,31,43,49,65,68],[10,72],[6,28,35,69],[3,50,64],[14,17,18,55,69],[30,44,59,60,74],[1,7,15,52,54,73],[36,51,67],[8,41,54],[20,33,67,73],[8,22,62],[7,20,31,65,71],[6,9,24,27],[2,15,25,36],[21,32,39,73],[4,31,43,56,72,74],[42,63,64],[59,62,67],[19,21,42,44,65],[0,3,40,56,59],[10,13,21,51,55,63],[64,73,74],[10],[9,16,18,21,31,41,53,55,61],[41,72],[26,59,68],[18,46,53,64,74],[12,52,56,66],[39,52,57,62],[1,8,10,16,36,47,54],[3,8,21,63,69,71],[43,45,53],[21,36,61],[2,30,38,40,66,70],[30,35,69],[25,47,66],[37,51,60],[10,42,45,50,57],[15,19,24,26,29,41,51,57,62]]"
false,true,"[[16,49],[6,8,27,58,62],[10,16,20,36,40,43,60],[10,44,50,68],[24,49,62],[7,10,19,22,28,49,74],[1,25],[5,8,22,37],[1,7,16,32,38,60,62],[21,23,45,58],[2,3,5,14,19,35,54,69,73],[12,19,39,51,62,63],[11,37,45,58,64,65],[23,26,39,40,48,56,59,63],[10,36,52,74],[54],[0,2,8,17,24,56],[16,22,39,64,66,73],[23,31,39,54,59,62,63],[5,10,11,28,33,48,57,72],[2,24,26,50,71,73,74],[9,46,55,62],[5,7,17,26,56,66],[9,13,18,46,49,51,67],[4,16,20,28,54,72],[6,52,72],[13,20,22,49,54],[1,69,70],[5,19,24,35,41,47,54,55,60,65],[69],[32,41,47,60],[18,32,49,52],[8,30,31,37,41,42],[19,37,51],[51,58],[10,28,41,48],[2,14,52],[7,12,32,33,52,68],[8,47,50,52,53,60,67],[11,13,17,18,40,69],[2,13,39,49],[28,30,32,35,60,61,62,69,73],[32,49,67,68,69],[2,60],[3,54],[9,12,56,57,68,71],[21,23,58,63,67],[28,30,38,56],[13,19,35,58,68],[0,4,5,23,26,31,40,42],[3,20,38],[11,23,33,34],[14,25,31,36,37,38,60,67],[38,65],[10,15,18,24,26,28,44,60,72],[21,28],[13,16,22,45,47],[19,45,64],[1,9,12,34,46,48,59],[13,18,58],[2,8,28,30,38,41,43,52,54],[41,74],[1,4,8,11,18,21,41],[11,13,18,46],[12,17,57],[12,28,53,69],[17,22,67],[23,38,42,46,52,66],[3,37,42,45,48,72,74],[10,27,29,39,41,42,65],[27],[20,45],[19,24,25,54,68],[10,17,20,41],[5,14,20,61,68]]"
